대여소번호,대여소명,거치대수,주소,위도,경도,구
1001.0,광진교 남단 사거리(디지털프라자앞),15,서울특별시 강동구 구천면로 171 376 남단사거리,37.54180527,127.12471771,강동구
1002.0,해공공원(천호동),10,서울특별시 강동구 올림픽로 702 265,37.54521942,127.12591553,강동구
1003.0,해공도서관앞,20,서울특별시 강동구 올림픽로 702 367,37.54391479,127.12545776,강동구
1004.0,삼성광나루아파트 버스정류장,10,서울특별시 강동구 상암로3길 77 암사동 534,37.55334854,127.12886047,강동구
1006.0,롯데캐슬 115동앞,15,서울특별시 강동구 양재대로 1665 명일동 304,37.5549202,127.14279938,강동구
1007.0,암사동 선사유적지,16,서울특별시 강동구 올림픽로 875 암사동 139-2,37.55951691,127.13084412,강동구
1008.0,암사역 3번출구(국민은행앞),10,서울특별시 강동구 올림픽로 지하 776 암사동 555,37.5495491,127.12715149,강동구
1009.0,천호역4번출구(현대백화점),20,서울특별시 강동구 천호대로 지하 997 성내동 62-1,37.53865814,127.12421417,강동구
101.0,(구)합정동 주민센터,5,서울특별시 마포구 동교로8길 58 444-12,37.54956055,126.90575409,마포구
1010.0,강동세무서,20,서울특별시 강동구 천호대로 1139 길동 467,37.53448105,127.13834381,강동구
1011.0,LIGA 아파트 앞,20,서울특별시 강동구 천호대로 1120 성내동 450-31,37.53477097,127.13523865,강동구
1012.0,서울 상운차량,15,서울특별시 강동구 올림픽로 610 성내동 93-34,37.536026,127.12272644,강동구
1013.0,강동구청역 1번 출입구,15,서울특별시 강동구 올림픽로 지하 550 1번 출입구,37.53077316,127.1209259,강동구
1014.0,강동구평생학습관앞,15,서울특별시 강동구 고덕로 295 명일동 320-2,37.55080032,127.1426239,강동구
1015.0,샛마을 근린공원,13,서울특별시 강동구 구천면로 431-2 샛마을 근린공원,37.55007935,127.14691162,강동구
1016.0,해뜨는 주유소옆 리엔파크 109동앞,10,서울특별시 강동구 상일로 152 강일동 607-14,37.55939865,127.17115784,강동구
1017.0,맥도날드(길동),20,서울특별시 강동구 천호대로 1207 맥도날드(길동),37.53547287,127.14517212,강동구
1018.0,둔촌 주공 GS 맞은편,20,서울특별시 강동구 양재대로 1330 둔촌동 541-6,37.52468109,127.13540649,강동구
1019.0,다성이즈빌아파트(호원대 대각선 맞은편),10,서울특별시 강동구 성내로 91 다성이즈빌아파트(호원대 대각선 맞은편),37.52682495,127.13002777,강동구
102.0,망원역 1번출구 앞,20,서울특별시 마포구 월드컵로 72 475-54,37.5556488,126.91062927,마포구
1020.0,강동경찰서,15,서울특별시 강동구 성내로 57 강동경찰서,37.52828979,127.12680054,강동구
1021.0,강일동 리슈빌 빌딩앞,15,서울특별시 강동구 아리수로 419 강일동 306-7,37.56430054,127.1739502,강동구
1022.0,길동 사거리(초소앞),20,서울특별시 강동구 양재대로 1441 성내동 379-41,37.53376389,127.13803101,강동구
1023.0,한국종합기술사옥 앞,15,서울특별시 강동구 상일동 504 상일동 삼성엔지니어링 앞,37.54999924,127.17469025,강동구
1024.0,강동구청 앞,10,서울특별시 성내동 546-3 강동구청 앞,37.5292511,127.12310791,강동구
1025.0,상일초등학교,10,서울특별시 상일동 440-3 상일초등학교,37.54684067,127.17251587,강동구
1026.0,대명초교 입구 교차로,14,서울특별시 명일동 59 대명초교 입구 교차로,37.54663086,127.15588379,강동구
1027.0,프라자 아파트 앞,20,서울특별시 길동 176-3 프라자 아파트 앞,37.5359993,127.14769745,강동구
1028.0,포레스 주상복합 빌딩,10,서울특별시 성내동 119-2 포레스 주상복합 빌딩,37.53310013,127.12277985,강동구
1029.0,롯데 시네마,10,서울특별시 성내동 44-1 롯데 시네마,37.53654099,127.12539673,강동구
103.0,망원역 2번출구 앞,14,서울특별시 마포구 월드컵로 79 378-18,37.55495071,126.91083527,마포구
1030.0,미호 플랜트 앞,15,서울특별시 성내동 478 미호 플랜트 앞,37.52706146,127.12207031,강동구
1031.0,암사동 CBIS,15,서울특별시 암사동 440-13 암사동 CBIS,37.55585098,127.12989807,강동구
1032.0,선사고등학교,20,서울특별시 암사동 445 선사고등학교,37.55672836,127.13620758,강동구
1033.0,고덕동 아남아파트,10,서울특별시 고덕동 673 고덕동 아남아파트,37.55799103,127.14470673,강동구
1034.0,고덕동 래미안 힐스테이트,15,서울특별시 고덕동 603 고덕동 래미안 힐스테이트,37.56190872,127.15074921,강동구
1035.0,고덕역 4번출구,20,서울특별시 명일동 46-5 고덕역 4번출구,37.55501556,127.15527344,강동구
1036.0,고덕동 주양쇼핑,10,서울특별시 명일동 48-2 고덕동 주양쇼핑,37.55199814,127.15329742,강동구
1037.0,강일 6단지,10,서울특별시 강일동 448-2 강일 6단지,37.56258774,127.1776123,강동구
1038.0,강일 다솜 어린이 공원,10,서울특별시 강일동 333-2 강일 다솜 어린이 공원,37.56866837,127.17479706,강동구
1039.0,고덕초등학교,7,서울특별시 고덕동 215 고덕초등학교,37.5612793,127.1678009,강동구
