,순위,카페,메뉴,price,address
0,1,Old Oak Tap,BLT,$10,"2109 W. Chicago Ave.,"
1,2,Au Cheval,Fried Bologna,$9,"800 W. Randolph St.,"
2,3,Xoco,Woodland Mushroom,$9.50,"445 N. Clark St.,"
3,4,Al’s Deli,Roast Beef,$9.40,"914 Noyes St., Evanston,"
4,5,Publican Quality Meats,PB&L,$10,"825 W. Fulton Mkt.,"
5,6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walton
6,7,Acadia,Lobster Roll,$16,"1639 S. Wabash Ave.,"
7,8,Birchwood Kitchen,Smoked Salmon Salad,$10,"2211 W. North Ave.,"
8,9,Cemitas Puebla,Atomica Cemitas,$9,"3619 W. North Ave.,"
9,10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,"3267 S. Halsted St.,"
10,11,Lula Cafe,Ham and Raclette Panino,$11,"2537 N. Kedzie Blvd.,"
11,12,Ricobene’s,Breaded Steak,$5.49,Multiple
12,13,Frog n Snail,The Hawkeye,$14,"3124 N. Broadway,"
13,14,Crosby’s Kitchen,Chicken Dip,$10,"3455 N. Southport Ave.,"
14,15,Longman & Eagle,Wild Boar Sloppy Joe,$13,"2657 N. Kedzie Ave.,"
15,16,Bari,Meatball Sub,$4.50,"1120 W. Grand Ave.,"
16,17,Manny’s,Corned Beef,$11.95,"1141 S. Jefferson St.,"
17,18,Eggy’s,Turkey Club,$11.50,"333 E. Benton Pl.,"
18,19,Old Jerusalem,Falafel,$6.25,"1411 N. Wells St.,"
19,20,Mindy’s HotChocolate,Crab Cake,$15,"1747 N. Damen Ave.,"
20,21,Olga’s Delicatessen,Chicken Schnitzel,$5,3209 W. Irving Park
21,22,Dawali Mediterranean Kitchen,Shawarma,$6,Multiple
22,23,Big Jones,Toasted Pimiento Cheese,$8,"5347 N. Clark St.,"
23,24,La Pane,Vegetarian Panino,$5.99,"2954 W. Irving Park Rd.,"
24,25,Pastoral,Cali Chèvre,$7.52,Multiple
25,26,Max’s Deli,Pastrami,$11.95,"191 Skokie Valley Rd., Highland Park,"
26,27,Lucky’s Sandwich Co.,The Fredo,$7.50,Multiple
27,28,City Provisions,Smoked Ham,$12.95,"1818 W. Wilson Ave.,"
