Petal.Length,Petal.Width,Species
100,4.1,1.3,versicolor
101,6,2.5,virginica
102,5.1,1.9,virginica
103,5.9,2.1,virginica
104,5.6,1.8,virginica
105,5.8,2.2,virginica
106,6.6,2.1,virginica
107,4.5,1.7,virginica
108,6.3,1.8,virginica
109,5.8,1.8,virginica
110,6.1,2.5,virginica
111,5.1,2,virginica
112,5.3,1.9,virginica
113,5.5,2.1,virginica
114,5,2,virginica
115,5.1,2.4,virginica
116,5.3,2.3,virginica
117,5.5,1.8,virginica
118,6.7,2.2,virginica
119,6.9,2.3,virginica
120,5,1.5,virginica
121,5.7,2.3,virginica
122,4.9,2,virginica
123,6.7,2,virginica
124,4.9,1.8,virginica
125,5.7,2.1,virginica
126,6,1.8,virginica
127,4.8,1.8,virginica
128,4.9,1.8,virginica
129,5.6,2.1,virginica
130,5.8,1.6,virginica
131,6.1,1.9,virginica
132,6.4,2,virginica
133,5.6,2.2,virginica
134,5.1,1.5,virginica
135,5.6,1.4,virginica
136,6.1,2.3,virginica
137,5.6,2.4,virginica
138,5.5,1.8,virginica
139,4.8,1.8,virginica
140,5.4,2.1,virginica
141,5.6,2.4,virginica
142,5.1,2.3,virginica
143,5.1,1.9,virginica
144,5.9,2.3,virginica
145,5.7,2.5,virginica
146,5.2,2.3,virginica
147,5,1.9,virginica
148,5.2,2,virginica
149,5.4,2.3,virginica
150,5.1,1.8,virginica
